9272;12.29.2004 18:46:38;Ulrike
5443;01.13.2005 18:15:36;neuer speed
4480;01.13.2005 23:20:56;userlevel Hedges
3879;08.01.2005 18:01:55;Userlevels durch
3834;01.13.2005 23:17:53;Userlevel Flooded
3660;12.29.2004 15:52:44;too greedy!
2584;01.13.2005 23:14:52;Userlevel Maulwurfswiese
2409;12.28.2004 20:55:27;Test english
2106;28.12.2004 15:03:51;Ulrike
2039;01.17.2005 17:24:08;gupps2
1865;01.11.2005 00:25:35;too bad!
1838;08.01.2005 18:00:19;Userlevels Test
1583;12.31.2004 16:24:22;drin!
1576;12.30.2004 16:52:07;Uderlevel durch
1546;30.12.2004 21:20:00;uja - externe Levels
1539;30.12.2004 19:04:34;Mischmasch
1341;01.15.2005 08:19:01;letztes Userlevel allein
999;28.12.2004 11:34:36;Test deutsch
947;12.28.2004 12:04:18;just a test engl.
923;10.01.2005 16:31:24;Scheiﬂ Fliege!
